Rank, Name, Score
1, bbd, 162
2, magnuscarlsenmogger, 148
3, pawnstar, 145
4, logic-and-proofs, 143
5, john-chess, 142
6, botty-fischer, 127
7, ichesshbot, 117
8, chesster, 116
9, lmc-ai, 105
10, stonkfish, 101
11, sheriff-ai, 98
12, rookX, 97
13, chess_project_pelm, 87
14, chess-engine2, 82
15, crucificad, 64
16, en-passant, 63
17, o-of-yes, 57
18, chessgambit, 56
19, chess-project, 54
19, chess-king, 54
21, matex, 51
22, caissa, 39
23, chessproj, 33
24, chessmates, 30
25, omega-knight, 9
25, chess-engine3, 9
25, chess_engine2, 9
25, chess-engine, 9
