Rank, Name, Score
1, bbd, 159
2, chess-engine, 147
3, magnuscarlsenmogger, 143
4, logic-and-proofs, 137
5, pawnstar, 132
6, lmc-ai, 126
7, botty-fischer, 124
8, john-chess, 119
9, ichesshbot, 111
10, chessmates, 108
11, o-of-yes, 100
12, chesster, 91
13, omega-knight, 82
14, chessproj, 69
15, chess-engine3, 66
16, matex, 58
17, chess_project_pelm, 57
18, rookX, 56
19, crucificad, 49
20, chess-project, 48
21, caissa, 43
22, chess-king, 42
23, chess-engine2, 41
24, sheriff-ai, 31
25, stonkfish, 20
26, chess_engine2, 14
27, chessgambit, 13
28, en-passant, 0
