Rank, Name, Score
1, bbd, 162
2, chess-engine, 152
3, magnuscarlsenmogger, 145
4, pawnstar, 136
5, john-chess, 125
6, logic-and-proofs, 124
7, lmc-ai, 116
8, chessmates, 112
8, o-of-yes, 112
10, sheriff-ai, 111
11, botty-fischer, 102
12, ichesshbot, 98
13, chesster, 96
14, chess-king, 86
15, chess-engine3, 64
16, rookX, 63
17, chessproj, 61
18, chess_project_pelm, 53
19, en-passant, 49
20, matex, 43
21, omega-knight, 40
22, crucificad, 34
23, chessgambit, 31
24, caissa, 24
25, chess-project, 22
26, chess-engine2, 20
27, chess_engine2, 11
28, stonkfish, 3
