Contender,AverageCheckNumer,AverageMoveNumber,AveragePieceDifferential,AveragePromotionNumber,LegalGamePercentage,DrawPercentage,VictoryPercentage
bbd,2.23958,13.0417,16.0938,0.1875,100,0,100
botty-fischer,2.10417,13.7396,17.4583,0.15625,100,0,100
caissa,4.75,87.8438,27.5625,0.09375,100,29.1667,70.8333
chess-engine,2.07292,13.7396,16.3021,0.260417,100,0,100
chess-engine2,3.55208,17.875,16.8333,0.0833333,100,2.08333,97.9167
chess_engine2,3.33333,31.9792,17.9688,1.42708,97.9167,5.20833,91.6667
chess-engine3,3.67708,23.5625,19.0625,0.239583,95.8333,13.5417,82.2917
chessgambit,6.94792,77.3542,13.7396,0.25,100,41.6667,58.3333
chess-king,22.0208,80.3542,17.9792,1.6875,100,42.7083,57.2917
chessmates,2.48958,15.0729,18.9062,0.239583,100,0,100
chessproj,3.125,16.8646,22.3438,0.0416667,100,0,100
chess-project,3.04167,21.2188,24.0417,0.354167,100,2.08333,97.9167
chess_project_pelm,3.25,17.9479,22.6458,0.09375,100,0,100
chesster,3.80208,21.7604,24.6667,0.104167,100,0,100
crucificad,2.58333,16.1146,19.5521,0.229167,100,0,100
en-passant,2.86458,19.75,25.7396,0.291667,100,0,100
ichesshbot,2.16667,13.7604,16.7812,0.145833,100,0,100
john-chess,2.10417,13.625,15.7292,0.197917,100,0,100
lmc-ai,2.4375,14.2812,18.3125,0.333333,100,0,100
logic-and-proofs,2.08333,14.2396,17.9167,0.21875,100,0,100
magnuscarlsenmogger,2.10417,13.5104,14.3125,0.104167,100,0,100
matex,3.26042,17.1562,20.6667,0.145833,100,1.04167,98.9583
omega-knight,0.635417,6.0625,4.90625,0,14.5833,0,14.5833
o-of-yes,2.42708,13.4792,17.3854,0.15625,100,1.04167,98.9583
pawnstar,2.76042,13.5,16.1562,0.114583,100,0,100
rookX,2.58333,13.75,17.3542,0.104167,100,0,100
sheriff-ai,2.45833,14.3646,17.3646,0.0520833,100,0,100
stonkfish,4.94792,78.2396,13.1771,2.42708,100,33.3333,63.5417
