Contender,AverageCheckNumer,AverageMoveNumber,AveragePieceDifferential,AveragePromotionNumber,LegalGamePercentage,DrawPercentage,VictoryPercentage
bbd,2.3125,12.6771,15.2812,0.15625,100,0,100
botty-fischer,2.59375,14.5625,17.0729,0.21875,100,0,100
caissa,4.82292,88.6562,29.1771,0.0416667,100,41.6667,58.3333
chess-engine,2.07292,12.9896,15.8333,0.21875,100,0,100
chess-engine2,4.35417,17.5521,15.5729,0.104167,100,5.20833,94.7917
chess_engine2,3.17708,28.8542,19.3333,0.979167,100,0,100
chess-engine3,5.34375,24.6562,20.1771,0.1875,100,16.6667,83.3333
chessgambit,4.07292,50.1042,28.375,0.291667,100,12.5,87.5
chess-king,5.05208,17.2188,17.9271,0.125,100,1.04167,98.9583
chessmates,2.85417,15.5625,18.9271,0.1875,100,1.04167,98.9583
chessproj,3.05208,16.0938,21.5625,0.0520833,100,0,100
chess-project,3.03125,21.8229,23.625,0.375,100,2.08333,97.9167
chess_project_pelm,2.38542,15.7917,20.4271,0.177083,100,0,100
chesster,3.375,20.6979,23.5938,0.1875,100,0,100
crucificad,3.38542,23,26.0833,0.197917,100,0,100
en-passant,2.54167,17.9271,22.1979,0.270833,100,0,100
ichesshbot,2.57292,14.3542,17.9792,0.135417,100,0,100
john-chess,2.21875,13.6667,16.75,0.15625,100,0,100
lmc-ai,2.72917,14.0208,17.9479,0.208333,100,0,100
logic-and-proofs,2.71875,15.3125,18.2708,0.145833,100,0,100
magnuscarlsenmogger,2.40625,13.7292,15.1146,0.114583,100,0,100
matex,3.16667,17.7083,21.3542,0.0520833,100,0,100
omega-knight,3.61458,17.4375,21.1042,0.0104167,85.4167,3.125,82.2917
o-of-yes,1.77083,12.6354,16,0.1875,100,0,100
pawnstar,2.35417,12.9167,15.3958,0.21875,100,0,100
rookX,3.02083,13.3438,17.3646,0.114583,97.9167,0,97.9167
sheriff-ai,2.94792,14.1146,17.6354,0.03125,100,0,100
stonkfish,4.05208,25.75,20.2812,0.84375,100,0,100
