Rank, Name, Score
1, bbd, 162
2, chess-engine, 149
3, magnuscarlsenmogger, 142
4, john-chess, 135
5, o-of-yes, 130
6, botty-fischer, 128
7, logic-and-proofs, 115
7, sheriff-ai, 115
9, pawnstar, 111
10, lmc-ai, 108
11, chessmates, 106
12, stonkfish, 104
13, ichesshbot, 97
14, omega-knight, 84
15, chess-engine3, 67
15, chess-king, 67
17, chess_project_pelm, 65
18, rookX, 61
19, en-passant, 49
19, matex, 49
21, crucificad, 48
22, chessproj, 36
22, chessgambit, 36
24, chess-project, 24
25, caissa, 21
26, chess-engine2, 9
27, chesster, 6
28, chess_engine2, 3
