Rank, Name, Score
1, bbd, 159
2, chess-engine, 152
3, magnuscarlsenmogger, 139
4, o-of-yes, 138
5, john-chess, 132
6, lmc-ai, 127
7, logic-and-proofs, 122
8, pawnstar, 116
9, botty-fischer, 114
10, sheriff-ai, 107
11, chesster, 95
12, stonkfish, 94
13, chessmates, 93
14, chess-king, 84
15, ichesshbot, 79
16, omega-knight, 67
17, chess-engine3, 63
18, chess_project_pelm, 59
19, rookX, 58
20, en-passant, 45
21, matex, 38
22, chessgambit, 36
23, crucificad, 33
23, chessproj, 33
25, chess-project, 18
26, caissa, 17
27, chess_engine2, 3
27, chess-engine2, 3
