Rank, Name, Score
1, bbd, 162
2, ichesshbot, 145
3, chess-engine, 144
4, magnuscarlsenmogger, 136
5, o-of-yes, 127
5, john-chess, 127
7, logic-and-proofs, 124
8, lmc-ai, 120
9, pawnstar, 111
10, botty-fischer, 107
11, chessmates, 94
12, sheriff-ai, 90
13, stonkfish, 87
14, chesster, 86
15, chess-king, 82
16, omega-knight, 74
17, chess-engine3, 69
18, chess_project_pelm, 60
19, crucificad, 54
20, rookX, 49
21, chess-engine2, 44
22, en-passant, 35
23, matex, 33
24, chessgambit, 26
25, chessproj, 19
25, caissa, 19
27, chess-project, 3
27, chess_engine2, 3
