Rank, Name, Score
1, bbd, 160
2, ichesshbot, 154
3, chess-engine, 149
4, john-chess, 130
5, o-of-yes, 128
6, logic-and-proofs, 123
6, pawnstar, 123
8, lmc-ai, 122
9, botty-fischer, 114
10, chesster, 105
11, stonkfish, 100
12, sheriff-ai, 99
13, chess-king, 83
14, chessmates, 81
15, chess-engine3, 74
16, omega-knight, 71
17, crucificad, 60
18, rookX, 58
19, chess-engine2, 53
20, chess_project_pelm, 49
21, chess_engine2, 48
22, matex, 43
23, chessgambit, 32
24, chessproj, 28
25, caissa, 19
26, magnuscarlsenmogger, 6
26, en-passant, 6
26, chess-project, 6
