Rank, Name, Score
1, bbd, 159
2, ichesshbot, 153
3, chess-engine, 142
4, magnuscarlsenmogger, 138
5, o-of-yes, 130
6, logic-and-proofs, 122
7, botty-fischer, 114
8, lmc-ai, 112
9, pawnstar, 111
9, john-chess, 111
11, sheriff-ai, 103
12, chesster, 97
13, stonkfish, 92
14, chess-king, 76
15, chessmates, 72
16, omega-knight, 71
17, en-passant, 56
18, crucificad, 55
19, chess_project_pelm, 54
20, chess-engine3, 49
21, rookX, 48
22, chess-engine2, 37
23, matex, 35
24, chess_engine2, 33
25, chessgambit, 19
26, chessproj, 12
27, caissa, 8
28, chess-project, 0
