Rank, Name, Score
1, bbd, 159
2, ichesshbot, 154
3, chess-engine, 143
4, o-of-yes, 140
5, magnuscarlsenmogger, 139
6, logic-and-proofs, 123
7, lmc-ai, 119
8, sheriff-ai, 113
9, john-chess, 112
10, pawnstar, 102
11, botty-fischer, 100
12, en-passant, 99
13, stonkfish, 97
14, chesster, 89
15, chessmates, 77
16, omega-knight, 61
16, chess-king, 61
18, chess-engine3, 56
19, chess_project_pelm, 55
20, crucificad, 48
21, rookX, 43
22, chess-engine2, 41
23, chess_engine2, 32
24, matex, 31
25, chessproj, 15
26, chessgambit, 12
27, chess-project, 8
28, caissa, 5
