Contender,AverageCheckNumer,AverageMoveNumber,AveragePieceDifferential,AveragePromotionNumber,LegalGamePercentage,DrawPercentage,VictoryPercentage
bbd,2.23958,13.4688,16.7708,0.145833,100,0,100
botty-fischer,2.83333,14.5312,17.9896,0.291667,100,0,100
caissa,4.11458,72.5938,23.6979,0.0520833,69.7917,21.875,47.9167
chess-engine,1.88542,12.75,14.4479,0.208333,98.9583,0,98.9583
chess-engine2,3.28125,16.7396,17.6042,0.145833,100,4.16667,95.8333
chess_engine2,4.14583,19.1146,24.8125,0.0104167,98.9583,2.08333,96.875
chess-engine3,2.28125,15.5312,19.4479,0.21875,100,0,100
chessgambit,3.33333,41.9167,25,0.34375,100,7.29167,92.7083
chess-king,6,19.1979,18.5104,0.1875,100,1.04167,98.9583
chessmates,2.25,14.75,19.1146,0.239583,100,0,100
chessproj,3.04167,27.7604,20.7396,0.239583,100,0,100
chess-project,3.10417,26.7396,23.6875,0.0729167,46.875,12.5,34.375
chess_project_pelm,2.5,15.7083,21.6667,0.302083,100,0,100
chesster,3,15.4792,18.0208,0.0416667,100,0,100
crucificad,2.83333,19.2083,23.4792,0.1875,100,0,100
en-passant,2.65625,13.1771,15.6771,0.125,100,0,100
ichesshbot,2.38542,12.2083,13.8333,0.239583,100,0,100
john-chess,2.02083,11.9792,14.0104,0.197917,100,0,100
lmc-ai,2.35417,13.9271,17.5208,0.21875,100,0,100
logic-and-proofs,2.71875,14.5833,17.6771,0.145833,100,0,100
magnuscarlsenmogger,2.38542,13.375,15.8542,0.197917,100,0,100
matex,2.91667,16.9062,20.5,0.0520833,100,1.04167,98.9583
omega-knight,3.0625,17.8021,22.5729,0,100,0,100
o-of-yes,2.27083,12.3646,14.9375,0.166667,100,0,100
pawnstar,2.4375,13.4479,16.6979,0.1875,100,0,100
rookX,2.5625,12.7396,16.6458,0.09375,100,0,100
sheriff-ai,2.90625,15.0208,19.75,0.177083,100,0,100
stonkfish,2.80208,14.2292,17.0104,0.1875,100,0,100
